Unnamed: 0,Artist,Track,Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Total_Views_Stream
0,Gorillaz,Feel Good Inc.,0.818,0.705,0.177,0.00836,0.00233,0.613,0.772,0.6067839292028391,1733790075.0
1,Gorillaz,Rhinestone Eyes,0.676,0.703,0.0302,0.0869,0.000687,0.0463,0.852,-0.9391053529217483,382095378.0
2,Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),0.695,0.923,0.0522,0.0425,0.0469,0.116,0.551,-0.4242477342430652,71498522.0
3,Gorillaz,On Melancholy Hill,0.689,0.739,0.026,1.51e-05,0.509,0.064,0.578,-0.0053879564823766,646418511.0
4,Gorillaz,Clint Eastwood,0.663,0.694,0.171,0.0253,0.0,0.0698,0.525,1.59896414577933,1235740696.0
5,Gorillaz,DARE,0.76,0.891,0.0372,0.0229,0.0869,0.298,0.966,-0.0107549243818006,582871488.0
6,Gorillaz,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,0.716,0.897,0.0629,0.012,0.262,0.325,0.358,0.2176281247219804,11118150.0
7,Gorillaz,She's My Collar (feat. Kali Uchis),0.726,0.815,0.0313,0.00799,0.081,0.112,0.462,0.6607573988328928,160616911.0
8,Gorillaz,Cracker Island (feat. Thundercat),0.741,0.913,0.0465,0.00343,0.103,0.325,0.643,-0.0192610621846607,67131721.0
9,Gorillaz,Dirty Harry,0.625,0.877,0.162,0.0315,0.0811,0.672,0.865,2.4206503066326164,345835769.0
10,Red Hot Chili Peppers,Californication,0.592,0.767,0.027,0.0021,0.00165,0.127,0.328,-0.8134710477541051,2074549657.0
11,Red Hot Chili Peppers,Under the Bridge,0.559,0.345,0.0459,0.0576,0.000105,0.141,0.458,-1.2152172863638009,1308438236.0
12,Red Hot Chili Peppers,Can't Stop,0.618,0.938,0.0456,0.0179,0.0,0.167,0.875,-0.9831887496302228,1203100710.0
13,Red Hot Chili Peppers,Scar Tissue,0.595,0.717,0.0295,0.0779,0.00274,0.108,0.547,-1.0671024741457416,1048960204.0
14,Red Hot Chili Peppers,Otherside,0.458,0.795,0.0574,0.00316,0.000202,0.0756,0.513,0.0893272128621709,1406303171.0
15,Red Hot Chili Peppers,Snow (Hey Oh),0.427,0.9,0.0499,0.116,1.75e-05,0.119,0.599,-0.5376291504327783,1181593553.0
16,Red Hot Chili Peppers,Dani California,0.556,0.913,0.0437,0.0193,8.59e-06,0.346,0.73,-0.8235636477662293,874296053.0
17,Red Hot Chili Peppers,By the Way,0.451,0.97,0.107,0.0264,0.00355,0.102,0.198,0.0628299185159593,546490804.0
18,Red Hot Chili Peppers,Give It Away,0.666,0.936,0.0476,0.00244,0.086,0.153,0.776,-0.9790706987891554,388585085.0
19,Red Hot Chili Peppers,Dark Necessities,0.7,0.742,0.0716,0.0722,0.0199,0.11,0.197,-0.966176474024502,825715837.0
20,50 Cent,In Da Club,0.902,0.72,0.347,0.26,0.0,0.0749,0.805,-1.0303100526968616,2724353266.0
21,50 Cent,Candy Shop,0.614,0.574,0.466,0.0253,3.2e-05,0.38,0.755,0.1549459901985218,1540223543.0
22,50 Cent,Just A Lil Bit,0.489,0.692,0.41,0.0322,0.00608,0.315,0.527,-0.797842707267104,871288573.0
23,50 Cent,P.I.M.P.,0.7,0.758,0.342,0.0444,1.3e-05,0.0401,0.889,-1.4139638712179337,1114387626.0
24,50 Cent,Many Men (Wish Death),0.653,0.826,0.354,0.0153,0.00146,0.131,0.416,-0.4071679496071632,773331028.0
25,50 Cent,Disco Inferno,0.925,0.659,0.231,0.206,7.88e-05,0.279,0.71,-0.7954123821805724,242303138.0
26,50 Cent,21 Questions,0.576,0.807,0.317,0.353,0.000363,0.0512,0.908,-1.031896514906125,949251616.0
27,50 Cent,Is This Love ('09) (feat. 50 Cent),0.853,0.776,0.261,0.0714,0.0,0.181,0.659,-0.8963383823018115,33819661.0
28,50 Cent,If I Can't,0.892,0.631,0.302,0.244,0.0,0.0235,0.838,-0.8981273716016198,210519675.0
29,50 Cent,Best Friend - Remix,0.545,0.64,0.308,0.368,0.0,0.111,0.574,2.064101363729389,160329015.0
33,Metallica,Whiskey In The Jar,0.511,0.972,0.0413,5.36e-06,0.00101,0.19,0.532,0.4181299443608303,435235219.0
37,Metallica,Lux Æterna,0.386,0.996,0.0754,1.15e-05,0.000836,0.116,0.188,0.3372203716883856,34999303.0
39,Metallica,Screaming Suicide,0.425,0.972,0.045,2.42e-05,0.0202,0.239,0.282,-0.656782588703004,8223187.0
40,Coldplay,Yellow,0.429,0.661,0.0281,0.00239,0.000121,0.234,0.285,1.7818798630559176,2316154717.0
41,Coldplay,Viva La Vida,0.486,0.617,0.0287,0.0954,3.23e-06,0.109,0.417,0.5884214729934895,2115157180.0
42,Coldplay,Sparks,0.371,0.268,0.0281,0.748,0.0517,0.104,0.165,-0.6064208521876563,548554063.0
43,Coldplay,Something Just Like This,0.617,0.635,0.0317,0.0498,1.44e-05,0.164,0.446,-0.5928515371211887,4148844380.0
44,Coldplay,The Scientist,0.557,0.442,0.0243,0.731,1.46e-05,0.11,0.213,0.8673012766729807,2548568709.0
45,Coldplay,A Sky Full of Stars,0.545,0.675,0.0279,0.00617,0.00197,0.209,0.162,0.1480938236351065,1808187016.0
46,Coldplay,Paradise,0.449,0.585,0.0268,0.0509,8.75e-05,0.0833,0.212,0.6429687693800862,2593102598.0
47,Coldplay,Hymn for the Weekend,0.491,0.693,0.0377,0.211,6.92e-06,0.325,0.412,-1.0313901971797643,2877896964.0
48,Coldplay,My Universe,0.573,0.711,0.0406,0.0114,0.0,0.328,0.47,-0.5257813156359372,1137880208.0
49,Coldplay,Fix You,0.209,0.417,0.0338,0.164,0.00196,0.113,0.124,0.5939234589532765,1681410285.0
50,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,0.794,0.811,0.038,0.0426,1.07e-06,0.101,0.862,-0.1530977145193477,877009762.0
51,Daft Punk,One More Time,0.613,0.697,0.133,0.0194,0.0,0.332,0.476,0.0730237820733551,903925347.0
52,Daft Punk,Instant Crush (feat. Julian Casablancas),0.775,0.585,0.0271,0.0422,0.619,0.077,0.518,-0.3591690291481658,1067418690.0
53,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers),0.81,0.793,0.0403,0.0378,1.77e-06,0.072,0.863,-0.1529964509740755,432615586.0
54,Daft Punk,Around the World,0.956,0.795,0.15,0.00356,0.889,0.0906,0.841,0.0240122261616363,331635900.0
55,Daft Punk,"Harder, Better, Faster, Stronger",0.817,0.716,0.144,0.0427,0.00263,0.358,0.692,0.0975970690593963,413976887.0
56,Daft Punk,Something About Us,0.875,0.475,0.0986,0.44,0.72,0.046,0.384,-0.696174107813869,262846183.0
57,Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),0.832,0.659,0.057,0.0839,0.00114,0.0753,0.674,-0.6892544322202724,470694969.0
58,Daft Punk,Veridis Quo,0.605,0.687,0.045,0.479,0.949,0.104,0.12,-0.4619852821144849,114573534.0
59,Daft Punk,Digital Love,0.644,0.664,0.0332,0.048,0.867,0.342,0.53,0.1398577219529719,145563846.0
60,Linkin Park,In the End,0.556,0.864,0.0584,0.00958,0.0,0.209,0.4,-0.5211569470685091,2932028097.0
61,Linkin Park,Numb,0.496,0.863,0.0381,0.0046,0.0,0.639,0.243,-0.3566036860012712,3123947186.0
62,Linkin Park,What I've Done,0.623,0.93,0.0324,0.0141,1.64e-06,0.138,0.287,-0.0156493290699542,1177221245.0
63,Linkin Park,Numb / Encore,0.687,0.793,0.166,0.0603,0.0,0.582,0.751,-0.4569558593659683,823317206.0
64,Linkin Park,One Step Closer,0.492,0.969,0.0491,0.0014,1.32e-06,0.0787,0.538,-0.8589383795812991,602095533.0
65,Linkin Park,Faint,0.554,0.978,0.131,0.111,0.0,0.0731,0.594,0.4898582889286007,791679444.0
66,Linkin Park,Bleed It Out,0.529,0.967,0.0508,0.114,0.0,0.61,0.596,0.6597110088650814,523507210.0
67,Linkin Park,Papercut,0.524,0.939,0.113,0.00022,0.0,0.623,0.661,0.9991801671324064,585977217.0
68,Linkin Park,Crawling,0.58,0.702,0.0337,0.0466,3.2e-06,0.536,0.299,-0.5234184995795873,766436593.0
69,Linkin Park,BURN IT DOWN,0.585,0.972,0.0534,0.0143,0.0,0.0707,0.585,-0.3570087401823598,721268979.0
70,Radiohead,Creep,0.515,0.43,0.0372,0.0097,0.000133,0.129,0.104,-0.9700582432599344,1865352574.0
71,Radiohead,No Surprises,0.255,0.393,0.0278,0.0577,0.00361,0.113,0.118,-1.4904853569285854,547196955.0
72,Radiohead,Karma Police,0.36,0.501,0.0258,0.0638,9.32e-05,0.172,0.324,-1.545133916860454,472069710.0
73,Radiohead,High and Dry,0.419,0.383,0.0256,0.0724,0.0176,0.0896,0.35,-1.1143925497878338,291176608.0
74,Radiohead,Exit Music (For A Film),0.293,0.276,0.0349,0.224,0.122,0.167,0.195,0.0344423713246673,157502020.0
75,Radiohead,Weird Fishes/ Arpeggi,0.531,0.61,0.0387,0.772,0.756,0.0908,0.199,1.0928151919940512,137024198.0
76,Radiohead,Jigsaw Falling Into Place,0.462,0.832,0.0479,0.108,0.00416,0.0741,0.807,1.521328761070684,105766611.0
77,Radiohead,Fake Plastic Trees,0.463,0.229,0.0297,0.167,0.0997,0.202,0.135,-1.587799623935118,281207310.0
78,Radiohead,Just,0.291,0.767,0.0862,0.000401,0.012,0.0763,0.359,1.860527883217284,103987190.0
79,Radiohead,Nude,0.516,0.342,0.0342,0.832,0.579,0.0857,0.167,0.2631292110642644,98593983.0
80,AC/DC,Highway to Hell,0.574,0.913,0.133,0.061,0.00158,0.156,0.423,-0.163865404833286,1417995406.0
81,AC/DC,Thunderstruck,0.502,0.89,0.0364,0.000147,0.0117,0.217,0.259,0.4366949276607242,2312614616.0
82,AC/DC,Back In Black,0.31,0.7,0.047,0.011,0.00965,0.0828,0.763,2.288670152627919,2097537452.0
83,AC/DC,You Shook Me All Night Long,0.532,0.767,0.0574,0.00287,0.000513,0.39,0.755,0.2288008692170074,1081193957.0
84,AC/DC,T.N.T.,0.754,0.759,0.302,0.153,0.000108,0.101,0.435,0.1952151267017453,767429561.0
85,AC/DC,Hells Bells,0.389,0.873,0.0475,0.00532,0.0055,0.273,0.303,-0.4663396145611874,548560126.0
86,AC/DC,Dirty Deeds Done Dirt Cheap,0.668,0.906,0.17,0.214,0.00245,0.135,0.507,0.5086933083492198,270690153.0
87,AC/DC,Shoot to Thrill,0.457,0.904,0.0747,0.000239,0.0879,0.396,0.48,0.6904613721127232,464319433.0
88,AC/DC,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),0.456,0.863,0.0894,0.133,0.0538,0.0553,0.532,0.5191234535122508,196450520.0
89,AC/DC,Rock N Roll Train,0.547,0.931,0.0615,0.000998,0.0118,0.278,0.697,-0.0736733405108939,162380545.0
90,Black Eyed Peas,I Gotta Feeling,0.744,0.766,0.0265,0.0873,0.0,0.509,0.61,0.2492223508468899,1639494096.0
91,Black Eyed Peas,DON'T YOU WORRY,0.831,0.868,0.0325,0.176,0.0,0.184,0.483,0.3844091837852057,307376306.0
92,Black Eyed Peas,Where Is The Love?,0.834,0.699,0.178,0.111,0.0,0.131,0.809,-0.8943806204265503,1640167970.0
93,Black Eyed Peas,Just Can’t Get Enough,0.659,0.628,0.179,0.186,0.0,0.105,0.262,-0.8955957829698161,623789839.0
94,Black Eyed Peas,GIRL LIKE ME,0.965,0.485,0.191,0.0206,0.0237,0.0655,0.312,0.1161958068743806,1116452308.0
95,Black Eyed Peas,Pump It,0.649,0.931,0.181,0.0093,0.0,0.751,0.744,1.1160045438613733,1247966560.0
96,Black Eyed Peas,Pump It Louder,0.66,0.942,0.185,0.00789,1.76e-05,0.834,0.543,0.1834348009350855,30007636.0
97,Black Eyed Peas,Meet Me Halfway,0.798,0.629,0.0735,0.00474,2.29e-05,0.324,0.4,0.3179465435715872,822654467.0
98,Black Eyed Peas,RITMO (Bad Boys For Life),0.732,0.716,0.0561,0.0295,0.000758,0.73,0.666,-0.5228446728230448,1891298736.0
99,Black Eyed Peas,SIMPLY THE BEST,0.872,0.789,0.132,0.203,2.39e-05,0.125,0.646,0.1842786638123536,61728245.0
100,Michael Jackson,Billie Jean,0.932,0.457,0.0541,0.0173,0.0436,0.0414,0.884,-0.1208621526077145,2603409527.0
101,Michael Jackson,Chicago,0.608,0.756,0.176,0.0784,0.0,0.187,0.55,1.87348961701212,104520292.0
102,Michael Jackson,Beat It,0.776,0.711,0.0473,0.0242,0.000353,0.234,0.901,0.6124884422531703,1732524613.0
103,Michael Jackson,Smooth Criminal - 2012 Remaster,0.853,0.981,0.0751,0.247,0.468,0.306,0.595,-0.0806605251346723,610683424.0
104,Michael Jackson,Rock with You - Single Version,0.808,0.535,0.0353,0.179,9.91e-05,0.158,0.848,-0.2211468169422298,647983247.0
105,Michael Jackson,Don't Stop 'Til You Get Enough,0.878,0.821,0.089,0.126,0.0461,0.183,0.947,-0.0574374187522599,738746500.0
106,Michael Jackson,They Don't Care About Us,0.859,0.905,0.129,0.205,0.00837,0.322,0.731,-1.0341243129021125,1235041997.0
107,Michael Jackson,Remember the Time,0.831,0.921,0.0582,0.153,0.00224,0.305,0.795,-0.4246527884241538,728311630.0
108,Michael Jackson,The Way You Make Me Feel - 2012 Remaster,0.877,0.854,0.147,0.0544,5.5e-05,0.144,0.54,-0.2062610757872247,785955090.0
109,Michael Jackson,Love Never Felt So Good,0.775,0.719,0.0435,0.132,1.79e-06,0.0662,0.712,-0.1036135953963585,623828764.0
110,P!nk,Just Give Me a Reason (feat. Nate Ruess),0.778,0.547,0.0489,0.346,0.000302,0.132,0.441,-0.863461484603455,2513804349.0
111,P!nk,Never Gonna Not Dance Again,0.668,0.802,0.0917,0.0273,0.0,0.163,0.769,-0.2290791279885479,45302867.0
112,P!nk,Raise Your Glass,0.7,0.709,0.0838,0.0048,0.0,0.029,0.624,0.0484842496024053,739968546.0
113,P!nk,Try,0.674,0.628,0.03,0.00144,0.0,0.0944,0.552,-0.5598058668473782,1011069613.0
114,P!nk,So What,0.534,0.87,0.0425,0.000334,0.0,0.241,0.462,0.1835023099652672,904447338.0
115,P!nk,What About Us,0.491,0.588,0.0506,0.0281,2.01e-06,0.0906,0.193,-0.2354249768256025,1002269544.0
116,P!nk,Cover Me In Sunshine,0.473,0.592,0.138,0.0528,0.0,0.131,0.292,1.3203881327356548,426673041.0
117,P!nk,TRUSTFALL,0.636,0.888,0.0945,0.00162,0.000216,0.147,0.25,0.0489230582985843,6099352.0
118,P!nk,Who Knew,0.688,0.734,0.0274,0.00462,0.0,0.0756,0.46,0.6555592035089227,388099813.0
119,P!nk,True Love (feat. Lily Allen),0.457,0.823,0.311,0.00144,0.0,0.108,0.578,2.417578645759362,319980232.0
120,Eminem,Mockingbird,0.637,0.678,0.266,0.209,0.0,0.156,0.254,-1.233512233542969,1627668421.0
121,Eminem,Without Me,0.908,0.669,0.0738,0.00286,0.0,0.237,0.662,-0.2816686624998829,3047837251.0
122,Eminem,The Real Slim Shady,0.949,0.661,0.0572,0.0302,0.0,0.0454,0.76,-0.5427260822114762,2010074393.0
123,Eminem,Superman,0.802,0.755,0.0564,0.0215,0.0,0.295,0.58,0.3187904064488543,605278981.0
124,Eminem,Till I Collapse,0.548,0.847,0.186,0.0622,0.0,0.0816,0.1,1.7169024215062898,1550803009.0
125,Eminem,Stan,0.78,0.768,0.238,0.0371,2.34e-06,0.518,0.507,-1.3677201855436534,1423006617.0
126,Eminem,Love The Way You Lie,0.749,0.925,0.227,0.241,0.0,0.52,0.641,-1.1339364140253578,3654635670.0
127,Eminem,Godzilla (feat. Juice WRLD),0.808,0.745,0.342,0.145,0.0,0.292,0.829,1.532872805231709,1619690005.0
128,Eminem,Sing For The Moment,0.668,0.824,0.137,0.0017,3.05e-06,0.0426,0.185,1.4642161215371945,811752925.0
129,Eminem,Not Afraid,0.855,0.954,0.264,0.529,0.0,0.205,0.668,-0.2007590898274377,2517164172.0
130,Pharrell Williams,"Happy - From ""Despicable Me 2""",0.647,0.822,0.183,0.219,0.0,0.0908,0.962,1.3311558230495937,1272230275.0
131,Pharrell Williams,Down In Atlanta,0.851,0.819,0.212,0.337,0.000153,0.0658,0.903,-1.263384979398252,45664440.0
132,Pharrell Williams,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",0.893,0.745,0.0571,0.0642,0.0,0.0943,0.872,-0.6603943218177105,1654782381.0
133,Pharrell Williams,Cash In Cash Out,0.877,0.56,0.0596,0.00721,1.45e-06,0.0839,0.154,-0.0206449973033799,124995786.0
134,Pharrell Williams,"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",0.81,0.733,0.0444,0.276,6.73e-06,0.288,0.9,0.1820171113012754,126576326.0
135,Pharrell Williams,Hit Different,0.679,0.516,0.0452,0.199,0.0,0.0965,0.716,-0.0171682822490364,319891810.0
136,Pharrell Williams,Neon Guts (feat. Pharrell Williams),0.859,0.563,0.112,0.0541,0.0,0.0685,0.412,-0.0218939143617366,255149018.0
137,Pharrell Williams,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),0.827,0.571,0.366,0.0195,0.0,0.166,0.62,0.7240808691430752,110985338.0
138,Pharrell Williams,Just A Cloud Away,0.89,0.46,0.0359,0.432,0.0,0.11,0.677,-0.2709684812161258,108301740.0
139,Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,0.894,0.404,0.13,0.453,1.57e-06,0.0801,0.759,-0.6269435973628115,173272509.0
140,Khalid,lovely (with Khalid),0.351,0.296,0.0333,0.934,0.0,0.095,0.12,-0.1788524095335633,3831955957.0
141,Khalid,Numb,0.912,0.774,0.0455,0.121,0.0127,0.101,0.632,-0.0208137698788338,228279635.0
142,Khalid,Silence,0.52,0.761,0.0853,0.256,4.96e-06,0.17,0.286,0.7219543346923605,1451240786.0
143,Khalid,Young Dumb & Broke,0.799,0.539,0.0421,0.199,1.66e-05,0.165,0.394,0.5524054053916968,2177037003.0
144,Khalid,Eastside (with Halsey & Khalid),0.632,0.686,0.243,0.549,0.0,0.2,0.329,-1.0340230493568403,2057362515.0
145,Khalid,Better,0.596,0.552,0.097,0.0765,0.334,0.104,0.112,-0.7639869286311164,2003982830.0
146,Khalid,Location,0.736,0.449,0.425,0.33,0.000162,0.0898,0.326,-1.365593651092938,1765750205.0
147,Khalid,8TEEN,0.83,0.585,0.0366,0.225,0.00209,0.0576,0.642,-0.52497120727376,587862027.0
148,Khalid,Beautiful People (feat. Khalid),0.64,0.647,0.186,0.124,0.0,0.0801,0.546,-0.9317468686319724,1594694316.0
149,Khalid,Love Lies (with Normani),0.708,0.648,0.0449,0.0956,0.0,0.134,0.338,0.7889232926323403,1086920916.0
150,Shakira,"Shakira: Bzrp Music Sessions, Vol. 53",0.778,0.632,0.0493,0.274,0.0,0.0915,0.498,0.0513533833851159,448830841.0
151,Shakira,Monotonía,0.873,0.695,0.0459,0.419,1.23e-06,0.211,0.823,0.3841391476644797,409824301.0
152,Shakira,Te Felicito,0.695,0.636,0.317,0.234,0.0,0.081,0.575,1.807803330645586,933721107.0
153,Shakira,Hips Don't Lie (feat. Wyclef Jean),0.778,0.824,0.0707,0.284,0.0,0.405,0.758,-0.6939463098178817,2379113145.0
154,Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),0.758,0.871,0.147,0.0062,0.0,0.0663,0.753,0.2164129621787147,4093734818.0
155,Shakira,DON'T YOU WORRY,0.831,0.868,0.0325,0.176,0.0,0.184,0.483,0.3844091837852057,307376306.0
156,Shakira,Dia de Enero,0.687,0.361,0.0792,0.35,1.11e-05,0.11,0.526,1.524501685489212,290126677.0
157,Shakira,Chantaje (feat. Maluma),0.852,0.773,0.0776,0.187,3.05e-05,0.159,0.907,-0.6260997344855435,3665592060.0
158,Shakira,Inevitable,0.595,0.461,0.0641,0.269,0.000149,0.123,0.338,-0.96560264726796,355371642.0
159,Shakira,Antologia,0.839,0.403,0.0308,0.5,1.81e-06,0.0786,0.575,-0.7633793473594835,229493917.0
160,Machine Gun Kelly,my ex's best friend (with blackbear),0.731,0.675,0.0434,0.00473,0.0,0.141,0.298,0.1470474336672941,676970743.0
161,Machine Gun Kelly,I Think I'm OKAY (with YUNGBLUD & Travis Barker),0.628,0.744,0.0379,0.0257,0.0,0.313,0.277,-0.0223327230579156,538734261.0
162,Machine Gun Kelly,maybe (feat. Bring Me The Horizon),0.601,0.92,0.0505,0.000735,0.0,0.0998,0.537,-1.0993380360573748,110996279.0
163,Machine Gun Kelly,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",0.653,0.718,0.213,0.00413,0.0,0.0537,0.216,-1.301190036299853,588821759.0
164,Machine Gun Kelly,forget me too (feat. Halsey),0.654,0.875,0.0744,0.000417,0.0086,0.194,0.522,-0.695600281057327,322407193.0
165,Machine Gun Kelly,bloody valentine,0.533,0.858,0.0766,0.00021,0.0,0.148,0.506,1.33243849462304,398679422.0
166,Machine Gun Kelly,Bad Things (with Camila Cabello),0.697,0.691,0.146,0.214,0.0,0.185,0.305,0.5829532415487944,1065497174.0
167,Machine Gun Kelly,make up sex (feat. blackbear),0.665,0.678,0.0315,0.00156,0.0,0.474,0.682,0.384915501511566,83270123.0
168,Machine Gun Kelly,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",0.721,0.632,0.0358,0.0693,0.0,0.291,0.296,-0.9628685315456118,248078216.0
169,Machine Gun Kelly,ay! (feat. Lil Wayne),0.742,0.617,0.0345,0.05,5.92e-05,0.0711,0.491,0.8917733001137503,82407791.0
170,Nicky Jam,X,0.594,0.749,0.056,0.0338,0.00106,0.3,0.694,2.004524644594276,2999155079.0
171,Nicky Jam,El Perdón (with Enrique Iglesias),0.628,0.69,0.0511,0.443,0.0,0.113,0.66,2.002499373688833,2147229854.0
172,Nicky Jam,Bella y Sensual,0.635,0.713,0.0937,0.228,0.0,0.0506,0.749,2.0010141750248422,1154917091.0
173,Nicky Jam,"Nicky Jam: Bzrp Music Sessions, Vol. 41",0.627,0.849,0.153,0.0913,0.0,0.145,0.818,-1.0354407389906504,186523699.0
174,Nicky Jam,Cuaderno,0.681,0.648,0.38,0.523,0.0,0.104,0.688,1.7362437586532702,671996949.0
175,Nicky Jam,En La Cama (feat. Daddy Yankee),0.855,0.912,0.145,0.183,0.0,0.122,0.885,-0.5573080327306654,251568887.0
176,Nicky Jam,Si Te Preguntan...,0.76,0.803,0.0306,0.531,0.0,0.0555,0.922,0.5523041418464242,99094303.0
177,Nicky Jam,Hasta el Amanecer,0.832,0.608,0.0385,0.282,0.0,0.0761,0.589,-0.8968447000281723,2025884434.0
178,Nicky Jam,Color Esperanza 2020,0.591,0.785,0.161,0.161,0.0,0.126,0.785,-0.4921618186055848,114172616.0
179,Nicky Jam,Donde Estan las Gatas,0.827,0.788,0.0831,0.246,0.0,0.0764,0.815,-0.3594728197839818,126495837.0
180,The Beatles,Here Comes The Sun - Remastered 2009,0.557,0.54,0.0347,0.0339,0.00248,0.179,0.394,0.289896541531202,1057869916.0
181,The Beatles,Let It Be - Remastered 2009,0.443,0.403,0.0322,0.631,0.0,0.111,0.41,0.7722823166926168,658713134.0
182,The Beatles,Come Together - Remastered 2009,0.533,0.376,0.0393,0.0302,0.248,0.0926,0.187,1.4995233443220823,606544114.0
183,The Beatles,Yesterday - Remastered 2009,0.332,0.179,0.0326,0.879,0.0,0.0886,0.315,-0.8119183400599325,517988349.0
184,The Beatles,Twist And Shout - Remastered 2009,0.482,0.849,0.0452,0.641,7.74e-06,0.0414,0.937,0.136651043019354,395191551.0
185,The Beatles,Blackbird - Remastered 2009,0.686,0.127,0.0342,0.754,1.41e-05,0.0573,0.372,-0.9074436177666572,360586113.0
186,The Beatles,In My Life - Remastered 2009,0.688,0.435,0.0323,0.449,0.0,0.113,0.435,-0.5854255438012314,329649681.0
187,The Beatles,Hey Jude - Remastered 2015,0.386,0.607,0.0261,0.0112,1.38e-05,0.088,0.532,0.8986929757073464,543000709.0
188,The Beatles,I Want To Hold Your Hand - Remastered 2015,0.49,0.715,0.0476,0.386,0.0,0.311,0.866,0.3423848124972648,363703327.0
189,The Beatles,Something - Remastered 2009,0.396,0.338,0.0304,0.198,2.62e-06,0.138,0.377,0.436762436690905,330231851.0
190,Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",0.671,0.939,0.161,0.191,0.0,0.298,0.53,0.2849346278128671,1785237748.0
191,Pitbull,Timber (feat. Ke$ha),0.581,0.963,0.0981,0.0295,0.0,0.139,0.788,0.3176089984206793,2526513838.0
192,Pitbull,Time of Our Lives,0.721,0.802,0.0583,0.0921,0.0,0.694,0.724,0.1160945433291084,1234450272.0
193,Pitbull,Feel This Moment (feat. Christina Aguilera),0.673,0.758,0.158,0.039,0.0,0.341,0.542,0.5189209264217064,1186099633.0
194,Pitbull,International Love (feat. Chris Brown),0.67,0.855,0.0499,0.0124,0.0,0.335,0.648,-0.0179783906112136,1213874388.0
195,Pitbull,Fireball (feat. John Ryan),0.761,0.933,0.056,0.0908,8.53e-05,0.0607,0.836,0.0802134937876778,731647221.0
196,Pitbull,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),0.592,0.935,0.0581,0.00879,0.0154,0.132,0.567,0.1495452677840075,1116812394.0
197,Pitbull,Hotel Room Service,0.85,0.631,0.227,0.00684,0.000406,0.0679,0.738,0.1829284832087248,688502972.0
198,Pitbull,Hey Baby (Drop It to the Floor) (feat. T-Pain),0.595,0.912,0.0884,0.0434,0.0,0.259,0.762,0.2511801127221517,493205947.0
199,Pitbull,HOT,0.898,0.677,0.243,0.0223,0.0,0.35,0.578,0.3187904064488543,104380493.0
200,Sean Paul,No Lie,0.742,0.882,0.117,0.0466,0.0,0.206,0.463,-0.6258972073949991,1972565860.0
201,Sean Paul,Temperature,0.951,0.6,0.0685,0.106,0.0,0.0712,0.822,0.1504566396914568,951893833.0
202,Sean Paul,Go Down Deh (feat. Shaggy and Sean Paul),0.801,0.764,0.0986,0.109,1.62e-05,0.247,0.578,-1.0323353236023045,288310800.0
203,Sean Paul,Get Busy,0.741,0.824,0.0352,0.614,0.0,0.158,0.725,-0.6874654429204645,589728793.0
204,Sean Paul,She Doesn't Mind,0.718,0.776,0.0693,0.000624,5.3e-06,0.207,0.622,-0.0191597986393886,772331962.0
205,Sean Paul,Give It Up to Me,0.855,0.674,0.314,0.165,0.0,0.0548,0.578,-0.8300782691787373,356299525.0
206,Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,0.711,0.761,0.225,0.067,0.0,0.041,0.718,-0.8357152731988868,358226151.0
207,Sean Paul,I'm Still in Love with You (feat. Sasha),0.765,0.666,0.172,0.103,0.0,0.116,0.757,-1.1334976053291788,491436618.0
208,Sean Paul,UP,0.812,0.712,0.0452,0.01,0.0,0.108,0.85,-0.7612865674238593,129304271.0
209,Sean Paul,Contra La Pared,0.828,0.588,0.118,0.0156,0.0,0.124,0.598,-0.8955282739396343,592462461.0
210,Elvis Presley,Can't Help Falling in Love,0.396,0.293,0.0275,0.941,0.000196,0.105,0.343,-0.6843937820472091,1006579252.0
211,Elvis Presley,Blue Christmas,0.465,0.27,0.0425,0.9,0.00104,0.145,0.58,-0.8797986699073611,339952848.0
212,Elvis Presley,Here Comes Santa Claus (Right Down Santa Claus Lane),0.575,0.236,0.0422,0.968,0.0178,0.105,0.829,-1.384158634392832,116069187.0
213,Elvis Presley,Suspicious Minds,0.487,0.382,0.0309,0.0422,4.74e-06,0.411,0.714,-0.1358829118230826,363424984.0
