Unnamed: 0,Artist,Track,Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Total_Views_Stream
7849,Gala,Freed From Desire - Full Vocals Mixx,0.751,0.836,0.0815,0.287,0.216,0.0758,0.647,0.2837194652696013,196721926.0
7850,Gala,Come Into My Life - Molella And Phil Jay Edit Mix,0.658,0.831,0.0299,0.000431,0.0342,0.177,0.695,0.2863860719617681,10206955.0
7851,Gala,Let a Boy Cry,0.692,0.769,0.0362,0.00269,0.0635,0.113,0.828,0.2833481656036036,21104602.0
7853,Gala,Galamegamix - Clap Mix F Edit,0.755,0.944,0.046,0.00803,0.0339,0.146,0.693,0.2851034003883205,872688.0
7854,Gala,Faraway,0.63,0.666,0.0352,7.36e-05,0.00313,0.418,0.906,-0.8306183414201889,8924404.0
7855,Gala,Suddenly - Radio Edit,0.732,0.878,0.0317,0.0023,0.0167,0.259,0.906,0.384341674755024,1196618.0
7856,Gala,Come Into My Life - Video Edit,0.746,0.672,0.0402,0.0269,0.00012,0.124,0.484,0.2851709094185023,9533289.0
7857,Ying Yang Twins,Salt Shaker,0.884,0.697,0.128,0.0509,0.0,0.094,0.322,-0.6284287960268029,174683175.0
7858,Ying Yang Twins,Badd,0.585,0.697,0.357,0.0339,0.0,0.255,0.402,0.4251171289846082,37001307.0
7859,Ying Yang Twins,Wait (The Whisper Song),0.933,0.513,0.347,0.00112,0.00248,0.107,0.595,-0.626673561242086,71499330.0
7860,Ying Yang Twins,Say I Yi Yi,0.782,0.627,0.115,0.00233,1.27e-05,0.201,0.485,-0.86464289263163,42315861.0
7861,Ying Yang Twins,Shake,0.918,0.681,0.309,0.337,0.0,0.644,0.843,-0.0873776736377246,62199736.0
7862,Ying Yang Twins,What's Happenin!,0.829,0.684,0.0606,0.102,0.0,0.348,0.731,-0.4252266151806958,22985133.0
7863,Ying Yang Twins,Whistle While You Twurk (ColliPark Mix),0.935,0.608,0.085,0.00155,0.0,0.342,0.0664,-0.6275174241193535,15891672.0
7864,Ying Yang Twins,Dangerous,0.8,0.783,0.0966,0.169,0.0,0.206,0.889,-0.1886074643947801,16730586.0
7865,Ying Yang Twins,Naggin',0.708,0.854,0.0322,0.000682,0.0,0.278,0.914,-0.6945876456046055,16788607.0
7866,Ying Yang Twins,Bedroom Boom,0.712,0.558,0.147,0.125,0.0,0.113,0.48,1.0256099524484372,10455366.0
7867,Mayday,為你寫下這首情歌,0.338,0.693,0.0345,0.2,0.0,0.0732,0.515,1.0003615751605814,7742884.0
7868,Mayday,突然好想你,0.462,0.465,0.0262,0.226,7.7e-06,0.196,0.409,0.6592046911387202,76815758.0
7869,Mayday,後來的我們,0.488,0.602,0.0277,0.0119,0.0,0.0825,0.225,-1.4369844505098015,181142796.0
7870,Mayday,我不願讓你一個人,0.472,0.507,0.0255,0.433,0.0,0.414,0.408,0.7906447729019664,26152634.0
7871,Mayday,玫瑰少年,0.509,0.705,0.0371,0.029,0.0,0.132,0.369,-0.830449568844735,27905117.0
7872,Mayday,倔強,0.461,0.68,0.0343,0.0516,2.94e-06,0.156,0.66,1.1935386650247466,35117200.0
7873,Mayday,私奔到月球,0.513,0.681,0.0556,0.376,0.0,0.0768,0.616,2.149871586574897,32474778.0
7874,Mayday,你不是真正的快樂,0.402,0.688,0.0299,0.0761,6.75e-06,0.327,0.431,1.46830041786317,35421430.0
7875,Mayday,因為你 所以我,0.47,0.685,0.0363,0.188,0.0,0.112,0.488,1.06395508159149,29909947.0
